97119,2500703
97118,2500637
97116,2500499
97114,2500376
97113,2500309
97111,2500180
97103,2499795
97102,2499732
97089,2499607
97080,2499471
97077,2499339
97075,2499205
97071,2499142
97068,2499007
97065,2498884
97062,2498688
97060,2498622
97057,2498500
97056,2498435
97050,2498116
97048,2497984
97037,2497472
97035,2497336
97032,2497147
97031,2497079
97030,2497014
97029,2496947
97028,2496877
99820,2588201
97026,2496750
97023,2496619
97020,2496433
97010,2495840
97007,2495645
97005,2495512
97004,2495444
96960,2495110
96951,2494973
96941,2494687
99001,2559633
96861,2494429
96857,2494143
96854,2494065
96850,2493941
96847,2493749
96846,2493685
96844,2493621
96840,2493430
96838,2493304
96836,2493176
96830,2493112
96826,2492984
96825,2492920
99507,2570534
96824,2492856
96822,2492729
96821,2492665
96818,2492472
96817,2492408
96816,2492343
96815,2492278
96812,2492087
96810,2491958
96807,2491766
96803,2491510
96797,2491321
96793,2491138
96792,2491074
96789,2490891
96788,2490831
96785,2490706
96782,2490520
96781,2490458
96776,2490160
96774,2490100
96771,2489913
96770,2489852
96768,2489730
96767,2489671
96761,2489309
96757,2489125
96756,2489066
96753,2488890
96750,2488710
96746,2488465
96743,2488277
96741,2488156
96739,2488030
96737,2487905
96732,2487723
96728,2487478
96727,2487419
96725,2487295
96720,2487115
96718,2486986
96714,2486741
96713,2486684
96707,2486379
96703,2486129
96701,2486069
96162,2485784
96161,2485723
96158,2485590
96157,2485516
96156,2485442
96152,2485223
96150,2485079
96146,2484945
96143,2484815
96135,2484441
96133,2484320
96129,2484132
96128,2484070
96125,2483878
96119,2483504
96116,2483320
96114,2483194
96112,2483070
96108,2482820
96097,2482319
96094,2482132
96093,2482066
96091,2481939
96089,2481812
96085,2481554
96080,2481424
96075,2481173
96074,2481111
96073,2481046
96745,2488401
96070,2480922
96059,2480347
96052,2479967
96044,2479523
96040,2479397
96033,2479016
96029,2478818
96028,2478748
96022,2478432
96021,2478372
96017,2478182
96010,2477818
96009,2477758
96007,2477630
96006,2477573
96003,2477513
96002,2477452
96001,2477391
95993,2477328
95992,2477266
95991,2477203
95988,2477143
95987,2477081
95984,2476960
95983,2476894
95981,2476766
95979,2476642
95977,2476510
95974,2476322
95967,2475899
95966,2475838
95962,2475655
95961,2475592
95959,2475459
95956,2475271
95955,2475210
95948,2474832
95946,2474699
95944,2474563
95939,2474249
95938,2474190
95937,2474131
98493,2545525
95936,2474066
95934,2473939
95927,2473637
98396,2543028
95925,2473516
95920,2473262
95917,2473075
95916,2473011
96777,2490221
95915,2472951
95901,2472584
95853,2472042
95843,2471840
95837,2471502
95836,2471434
95834,2471298
95833,2471229
95832,2471161
95831,2471093
95829,2470958
95828,2470890
95823,2470550
95822,2470482
95821,2470413
95818,2470209
95817,2470141
95816,2470072
95776,2469537
95765,2469476
95762,2469343
95759,2469276
95757,2469142
95735,2468741
95724,2468545
95722,2468479
95721,2468413
95703,2467907
95701,2467848
95697,2467672
95696,2467610
95695,2467550
95692,2467365
95690,2467228
95689,2467166
95684,2466843
95683,2466774
95681,2466642
95680,2466578
95679,2466520
95678,2466457
95672,2466079
95671,2466014
98003,2525486
95659,2465227
95656,2465098
