4,"Zip
Code","Place
Name",State,County,Lat,Long,RandomColumn
1586,West Millbury,MA,Worcester,42.1712,-71.8037,0.7475927079957332
1588,Whitinsville,MA,Worcester,42.1153,-71.6644,0.2348053688278866
1590,Sutton,MA,Worcester,42.1266,-71.7552,0.4281371417663977
1601,Worcester,MA,Worcester,42.2626,-71.8023,0.5222167804422774
1602,Worcester,MA,Worcester,42.2703,-71.8417,0.19737834307373103
1603,Worcester,MA,Worcester,42.245,-71.838,0.6795925294056598
1604,Worcester,MA,Worcester,42.2541,-71.7746,0.7150642230740711
1605,Worcester,MA,Worcester,42.2894,-71.7888,0.24818876961897884
1606,Worcester,MA,Worcester,42.311,-71.7958,0.10661584783860867
1607,Worcester,MA,Worcester,42.2303,-71.7938,0.7066653483254758
1608,Worcester,MA,Worcester,42.2624,-71.8003,0.9588863156696161
1609,Worcester,MA,Worcester,42.2826,-71.8277,0.6374718942882003
1610,Worcester,MA,Worcester,42.2492,-71.8108,0.104343278783807
1611,Cherry Valley,MA,Worcester,42.2373,-71.875,0.42929441698358006
1612,Paxton,MA,Worcester,42.3066,-71.9202,0.40740237684693725
1613,Worcester,MA,Worcester,42.2933,-71.802,0.3301811064106066
1614,Worcester,MA,Worcester,42.2626,-71.8023,0.5542867554389547
1615,Worcester,MA,Worcester,42.2626,-71.8023,0.625593527574301
1653,Worcester,MA,Worcester,42.3648,-71.8969,0.6612077694075149
1655,Worcester,MA,Worcester,42.3648,-71.8969,0.5893399281310059
1701,Framingham,MA,Middlesex,42.3007,-71.4255,0.0011556927171043618
1702,Framingham,MA,Middlesex,42.2822,-71.4339,0.08278622167215688
1703,Framingham,MA,Middlesex,42.4464,-71.4594,0.08780827601265828
1704,Framingham,MA,Middlesex,42.4464,-71.4594,0.5534053492382573
1705,Framingham,MA,Middlesex,42.4464,-71.4594,0.41107309870787345
1718,Acton,MA,Middlesex,42.4851,-71.4328,0.6410518186348001
1719,Boxborough,MA,Middlesex,42.4884,-71.5178,0.313061666469694
1720,Acton,MA,Middlesex,42.4751,-71.4483,0.2959077031257358
1721,Ashland,MA,Middlesex,42.2539,-71.4583,0.13462165163874695
1730,Bedford,MA,Middlesex,42.4843,-71.2768,0.36970588331479404
1731,Hanscom Afb,MA,Middlesex,42.4567,-71.2795,0.6130375576110825
1740,Bolton,MA,Worcester,42.4365,-71.6076,0.45356171760885944
1741,Carlisle,MA,Middlesex,42.5286,-71.3519,0.8052334165948638
1742,Concord,MA,Middlesex,42.4567,-71.3747,0.7504094901498589
1745,Fayville,MA,Worcester,42.2934,-71.5028,0.658627331699519
1746,Holliston,MA,Middlesex,42.2026,-71.4361,0.9613945230084184
1747,Hopedale,MA,Worcester,42.1268,-71.5376,0.8153428452514965
1748,Hopkinton,MA,Middlesex,42.219,-71.5302,0.5274433085400284
1749,Hudson,MA,Middlesex,42.3918,-71.5609,0.722210304591761
1752,Marlborough,MA,Middlesex,42.3509,-71.5434,0.7970703919158912
1754,Maynard,MA,Middlesex,42.4321,-71.455,0.38462970770912885
1756,Mendon,MA,Worcester,42.0967,-71.5499,0.25438215144191023
1757,Milford,MA,Worcester,42.1511,-71.5274,0.4589802837716478
1760,Natick,MA,Middlesex,42.2875,-71.3574,0.9979904278717948
1770,Sherborn,MA,Middlesex,42.2331,-71.3787,0.9371821543177286
1772,Southborough,MA,Worcester,42.2939,-71.532,0.9632410528389072
1773,Lincoln,MA,Middlesex,42.4217,-71.3137,0.8040885811199321
1775,Stow,MA,Middlesex,42.4308,-71.515,0.46026790166520326
1776,Sudbury,MA,Middlesex,42.3837,-71.4282,0.1605422180888294
1778,Wayland,MA,Middlesex,42.3486,-71.3588,0.17687204660673694
1784,Woodville,MA,Middlesex,42.2376,-71.562,0.6328478289096858
1801,Woburn,MA,Middlesex,42.4829,-71.1574,0.1764156859669478
1803,Burlington,MA,Middlesex,42.5089,-71.2004,0.05113161653575049
1805,Burlington,MA,Middlesex,42.5048,-71.1956,0.43108198258902497
1810,Andover,MA,Essex,42.6496,-71.1565,0.6405061987527747
1812,Andover,MA,Essex,42.6472,-71.1842,0.8063198472637361
1813,Woburn,MA,Middlesex,42.4793,-71.1523,0.01946902369237047
1815,Woburn,MA,Middlesex,42.4793,-71.1523,0.11764891719953452
1821,Billerica,MA,Middlesex,42.5519,-71.2518,0.9963056740395672
1822,Billerica,MA,Middlesex,42.5584,-71.2689,0.737563613881089
1824,Chelmsford,MA,Middlesex,42.5911,-71.3556,0.29762425338291454
1826,Dracut,MA,Middlesex,42.6764,-71.3186,0.8216011463349582
1827,Dunstable,MA,Middlesex,42.6739,-71.4952,0.2201866784110701
1830,Haverhill,MA,Essex,42.7856,-71.0721,0.7986882202490732
1831,Haverhill,MA,Essex,42.7711,-71.1221,0.7924670847398839
1832,Haverhill,MA,Essex,42.7792,-71.1095,0.7608124931841568
1833,Georgetown,MA,Essex,42.7281,-70.9822,0.8158721945089163
1834,Groveland,MA,Essex,42.753,-71.027,0.9400141746048913
1835,Haverhill,MA,Essex,42.7528,-71.0843,0.024068081098874927
1840,Lawrence,MA,Essex,42.708,-71.1638,0.6790054700868401
1841,Lawrence,MA,Essex,42.7115,-71.167,0.6213956579655447
1842,Lawrence,MA,Essex,42.707,-71.1631,0.4804197690564741
1843,Lawrence,MA,Essex,42.6911,-71.1605,0.9577838303861095
1844,Methuen,MA,Essex,42.728,-71.181,0.6436458245214998
1845,North Andover,MA,Essex,42.6826,-71.109,0.2588330507661111
1850,Lowell,MA,Middlesex,42.656,-71.3051,0.6493436223552813
1851,Lowell,MA,Middlesex,42.6315,-71.3329,0.8479385699321933
1852,Lowell,MA,Middlesex,42.6344,-71.2983,0.5108970093853245
1853,Lowell,MA,Middlesex,42.6334,-71.3162,0.013867959314416978
1854,Lowell,MA,Middlesex,42.6493,-71.3355,0.4573037426479498
1860,Merrimac,MA,Essex,42.8346,-71.0047,0.0806101062646416
1862,North Billerica,MA,Middlesex,42.5757,-71.2902,0.9371967780641673
1863,North Chelmsford,MA,Middlesex,42.6347,-71.3908,0.8020092340645779
1864,North Reading,MA,Middlesex,42.5819,-71.0947,0.14747138818019678
1865,Nutting Lake,MA,Middlesex,42.5379,-71.2689,0.2176977791952236
1866,Pinehurst,MA,Middlesex,42.5293,-71.2281,0.3305035412149645
1867,Reading,MA,Middlesex,42.528,-71.109,0.5559778597224642
1876,Tewksbury,MA,Middlesex,42.6028,-71.2232,0.3744081703009683
1879,Tyngsboro,MA,Middlesex,42.6724,-71.4158,0.6461446996090854
1880,Wakefield,MA,Middlesex,42.5009,-71.0685,0.5170381056037189
1885,West Boxford,MA,Essex,42.707,-71.0639,0.34395152003773
1886,Westford,MA,Middlesex,42.5864,-71.4401,0.488949923900299
1887,Wilmington,MA,Middlesex,42.5581,-71.1723,0.525990006830048
1888,Woburn,MA,Middlesex,42.4793,-71.1523,0.8606745935611717
1889,North Reading,MA,Middlesex,42.5716,-71.1096,0.9621848865533745
1890,Winchester,MA,Middlesex,42.453,-71.1441,0.7459215749589247
1899,Andover,MA,Essex,42.6584,-71.137,0.7499167336012276
1901,Lynn,MA,Essex,42.4612,-70.9467,0.3000002652777889
1902,Lynn,MA,Essex,42.4698,-70.942,0.81263621116996
